id,sender_name,sender_account,receiver_name,receiver_account,amount,utr,timestamp,transaction_type,pattern
TX-HAWALA-1,Praveen Dubey,7663-7480-3481,Vijay Patel,3848-1243-9642,49500.0,UTR2026011248726196,2026-01-13T18:00:00,NEFT,STRUCTURING
TX-HAWALA-2,Vijay Patel,3848-1243-9642,Bittu Shankar,3535-1442-5818,49500.0,UTR2026011228945559,2026-01-14T03:00:00,NEFT,STRUCTURING
TX-HAWALA-3,Bittu Shankar,3535-1442-5818,Pooja Pandey,4664-8652-1413,49500.0,UTR2026011246056787,2026-01-14T12:00:00,NEFT,STRUCTURING
TX-HAWALA-4,Pooja Pandey,4664-8652-1413,Praveen Dubey,7663-7480-3481,49500.0,UTR2026011271941349,2026-01-14T21:00:00,NEFT,STRUCTURING
TX-D299CDAD,Seema Patel,5999-1734-4998,Dinesh Paswan,6923-6579-1346,49164.0,UTR2026652360273148,2026-01-02T21:37:00,UPI,STRUCTURING
TX-68F7C754,Rajesh Tiwari,2433-7952-3372,Ajay Sinha,9346-3093-3738,350000.0,UTR2026987981042364,2026-02-16T06:27:00,NEFT,NORMAL
TX-F6FFB831,Dharmendra Sharma,7255-6798-2307,Bittu Oram,1288-9662-3183,12000.0,UTR2026874904521107,2026-02-25T17:33:00,NEFT,NORMAL
TX-5730C843,Dinesh Paswan,6923-6579-1346,Bittu Shankar,4664-8652-1413,25000.0,UTR2026969708625474,2026-01-11T19:23:00,RTGS,NORMAL
TX-5686011F,Vijay Patel,3535-1442-5818,Deepak Ahmed,4402-2851-8076,12000.0,UTR2026810326513920,2026-01-21T22:41:00,UPI,NORMAL
TX-B7F121E2,Guddu Gupta,7834-9837-5000,Subhash Paswan,9554-7185-4354,25000.0,UTR2026400316053389,2026-03-21T06:05:00,NEFT,NORMAL
TX-EBE0EAEB,Bittu Shankar,4664-8652-1413,Alok Kujur,9124-9207-4103,25000.0,UTR2026713245624888,2026-02-26T22:12:00,IMPS,NORMAL
TX-B896AC3D,Mahesh Oram,7896-2056-1252,Munna Sinha,2564-7599-2789,12000.0,UTR2026356955849044,2026-02-04T17:33:00,RTGS,NORMAL
TX-A74F5BB1,Dinesh Gupta,6125-2973-8578,Manoj Prasad,4536-5749-5906,12000.0,UTR2026400540432478,2026-02-24T19:06:00,NEFT,NORMAL
TX-EE1360A1,Ajay Tiwari,2670-6813-8996,Bittu Shankar,9480-9188-7678,48302.0,UTR2026592759230294,2026-01-16T00:03:00,RTGS,STRUCTURING
TX-2A3048DF,Rajesh Tiwari,2433-7952-3372,Subhash Shankar,1579-4440-4546,25000.0,UTR2026528196714568,2026-01-20T03:17:00,IMPS,NORMAL
TX-2EA9DD2F,Amit Prasad,7574-5609-5171,Munna Sinha,2564-7599-2789,4200.0,UTR2026395646364120,2026-01-02T18:32:00,RTGS,NORMAL
TX-2D8964A0,Chandan Mishra,5424-4709-4857,Rahul Tiwari,9184-9585-3866,1500.0,UTR2026791020411888,2026-01-22T02:23:00,IMPS,NORMAL
TX-72311704,Suresh Verma,3931-4621-8957,Subhash Shankar,1579-4440-4546,350000.0,UTR2026643369488881,2026-03-04T22:33:00,RTGS,NORMAL
TX-C485C121,Rajesh Ansari,6527-5681-5308,Mohammad Kumar,3194-2131-1813,45983.0,UTR2026812541351882,2026-03-05T01:29:00,RTGS,STRUCTURING
TX-A87BAD5B,Vikas Munda,1067-8821-6554,Alok Kujur,9124-9207-4103,25000.0,UTR2026421101649753,2026-01-03T03:23:00,NEFT,NORMAL
TX-5D4FD53E,Deepak Ahmed,4402-2851-8076,Alok Kujur,9124-9207-4103,85000.0,UTR2026173821661386,2026-03-06T00:21:00,IMPS,NORMAL
TX-4BD4E44C,Bittu Oram,1288-9662-3183,Dinesh Paswan,6923-6579-1346,85000.0,UTR2026385412372062,2026-02-28T17:31:00,NEFT,NORMAL
